test_case,metric_type,trial_num,best
96,MC_SA,0,0.932229
96,SA,1,0.936089797662695
96,MC_Avg,0,2525664.1879003053
96,Avg,1,2525619.843479121
97,MC_SA,0,0.488111
97,SA,1,0.47098734142094545
97,MC_Avg,0,-1186003.2832915594
97,Avg,1,-1185581.1645763386
98,MC_SA,0,0.691238
98,SA,1,0.6838938042132839
98,MC_Avg,0,1033298.1254169551
98,Avg,1,1033221.470967793
99,MC_SA,0,0.557831
99,SA,1,0.5403302844758757
99,MC_Avg,0,332989.38316851284
99,Avg,1,329678.9104307638
100,MC_SA,0,0.420773
100,SA,1,0.41382581439485416
100,MC_Avg,0,-2175052.1484412607
100,Avg,1,-2173383.649760056
101,MC_SA,0,0.707788
101,SA,1,0.7074775406444122
101,MC_Avg,0,1164720.3045680383
101,Avg,1,1164223.1873324097
102,MC_SA,0,0.755767
102,SA,1,0.7556216037884742
102,MC_Avg,0,807014.7206522521
102,Avg,1,806706.5708791683
103,MC_SA,0,0.770081
103,SA,1,0.7701514009269609
103,MC_Avg,0,959872.0725390256
103,Avg,1,960053.7507967602
104,MC_SA,0,0.808684
104,SA,1,0.8084739957728359
104,MC_Avg,0,2256023.365031607
104,Avg,1,2255667.770027415
105,MC_SA,0,0.779029
105,SA,1,0.7792185127755252
105,MC_Avg,0,2273513.8267657836
105,Avg,1,2272011.4014517735
106,MC_SA,0,0.440402
106,SA,1,0.4404471927496889
106,MC_Avg,0,-590469.0973378208
106,Avg,1,-589513.9115001152
107,MC_SA,0,0.665051
107,SA,1,0.6651445766076876
107,MC_Avg,0,1161411.845012011
107,Avg,1,1161402.201125251
108,MC_SA,0,0.713811
108,SA,1,0.7137634964396282
108,MC_Avg,0,247606.73842575453
108,Avg,1,247769.38575537005
109,MC_SA,0,0.891665
109,SA,1,0.8915773574928367
109,MC_Avg,0,293369.03702623997
109,Avg,1,293835.4411271047
110,MC_SA,0,0.397174
110,SA,1,0.3975013652113878
110,MC_Avg,0,-2573141.8676803834
110,Avg,1,-2571666.5717707947
111,MC_SA,0,0.553487
111,SA,1,0.5549652522867884
111,MC_Avg,0,263095.4601512633
111,Avg,1,261934.7940380847
112,MC_SA,0,0.552451
112,SA,1,0.5526285500843093
112,MC_Avg,0,-617144.9559016785
112,Avg,1,-613513.6150910902
113,MC_SA,0,0.658861
113,SA,1,0.670121028866806
113,MC_Avg,0,205649.00295158627
113,Avg,1,205414.92079133954
114,MC_SA,0,0.692685
114,SA,1,0.6921334982386248
114,MC_Avg,0,438059.6262422319
114,Avg,1,437036.98555743
115,MC_SA,0,0.591325
115,SA,1,0.5942143099843651
115,MC_Avg,0,5965806.770498393
115,Avg,1,5964584.055136158
116,MC_SA,0,0.971444
116,SA,1,0.9734155286725676
116,MC_Avg,0,13788696.801252324
116,Avg,1,13787366.003232233
117,MC_SA,0,0.425044
117,SA,1,0.42073426539704123
117,MC_Avg,0,-1871518.4225395385
117,Avg,1,-1871193.7563212358
118,MC_SA,0,0.755979
118,SA,1,0.7564146729497667
118,MC_Avg,0,856517.1741401063
118,Avg,1,857886.453033167
119,MC_SA,0,0.702943
119,SA,1,0.7029304323884652
119,MC_Avg,0,-448175.85087044886
119,Avg,1,-455331.887766945
120,MC_SA,0,0.937364
120,SA,1,0.9375559773691013
120,MC_Avg,0,1948401.3123621077
120,Avg,1,1948735.8852040642
121,MC_SA,0,0.765111
121,SA,1,0.7708322898108417
121,MC_Avg,0,1895892.7456330785
121,Avg,1,1895726.6519865044
122,MC_SA,0,0.836094
122,SA,1,0.8379864107935426
122,MC_Avg,0,2926522.489661021
122,Avg,1,2928316.5951491725
123,MC_SA,0,0.661953
123,SA,1,0.653224758065262
123,MC_Avg,0,300435.6285728944
123,Avg,1,300719.8787446631
124,MC_SA,0,0.329758
124,SA,1,0.32439103837717975
124,MC_Avg,0,920856.0228943971
124,Avg,1,926053.2107445052
125,MC_SA,0,0.211021
125,SA,1,0.21000819172533122
125,MC_Avg,0,-2716334.246300258
125,Avg,1,-2714190.7817400116
126,MC_SA,0,0.839122
126,SA,1,0.8642648226342431
126,MC_Avg,0,2860429.172057674
126,Avg,1,2862741.435858976
127,MC_SA,0,0.76515
127,SA,1,0.768123002355326
127,MC_Avg,0,2320044.7736648363
127,Avg,1,2319794.977652162
128,MC_SA,0,0.220307
128,SA,1,0.21886051121246294
128,MC_Avg,0,-6007988.651357466
128,Avg,1,-6009916.633720465
129,MC_SA,0,0.534742
129,SA,1,0.49735734017185956
129,MC_Avg,0,-460592.5030818321
129,Avg,1,-460504.27436568815
130,MC_SA,0,0.859592
130,SA,1,0.8678943785867251
130,MC_Avg,0,3923484.969911149
130,Avg,1,3920132.6035700287
131,MC_SA,0,0.982987
131,SA,1,0.9828938764919994
131,MC_Avg,0,5164304.205853945
131,Avg,1,5164223.187332411
132,MC_SA,0,0.802554
132,SA,1,0.8025947050597312
132,MC_Avg,0,2380429.418794862
132,Avg,1,2379618.7409211304
133,MC_SA,0,0.589155
133,SA,1,0.588750007586277
133,MC_Avg,0,-1387592.4483245108
133,Avg,1,-1387632.1101833736
134,MC_SA,0,0.941963
134,SA,1,0.9420142448278421
134,MC_Avg,0,3451726.0714698266
134,Avg,1,3452347.7597473655
135,MC_SA,0,0.775549
135,SA,1,0.7753463719974745
135,MC_Avg,0,1117760.705477239
135,Avg,1,1117886.9804777305
136,MC_SA,0,0.484106
136,SA,1,0.4837583122460611
136,MC_Avg,0,-829859.1533787585
136,Avg,1,-829528.1933892121
137,MC_SA,0,0.777612
137,SA,1,0.7777049806223666
137,MC_Avg,0,704120.738854509
137,Avg,1,704399.9341101157
138,MC_SA,0,0.648026
138,SA,1,0.6482133784496582
138,MC_Avg,0,-122733.3166996053
138,Avg,1,-122931.39268066823
139,MC_SA,0,0.865731
139,SA,1,0.8658624337588963
139,MC_Avg,0,3831375.639655877
139,Avg,1,3831482.7401944627
140,MC_SA,0,0.606887
140,SA,1,0.6069262694166422
140,MC_Avg,0,-251038.70378550628
140,Avg,1,-250880.755473126
141,MC_SA,0,0.901646
141,SA,1,0.9005773966619379
141,MC_Avg,0,4262144.792006457
141,Avg,1,4261934.794038083
142,MC_SA,0,0.26045
142,SA,1,0.2506781143983661
142,MC_Avg,0,-1330704.3828186463
142,Avg,1,-1331815.0322731487
143,MC_SA,0,0.877599
143,SA,1,0.8746472828615135
143,MC_Avg,0,1053367.967054216
143,Avg,1,1052147.061006203
144,MC_SA,0,0.300368
144,SA,1,0.29405529408468506
144,MC_Avg,0,-2057989.1734325138
144,Avg,1,-2057109.3902815862
145,MC_SA,0,0.872488
145,SA,1,0.870063910957277
145,MC_Avg,0,90223.12121446895
145,Avg,1,88164.69397302756
146,MC_SA,0,0.742694
146,SA,1,0.7447267413667369
146,MC_Avg,0,1070593.7057090702
146,Avg,1,1070444.238969312
147,MC_SA,0,0.648986
147,SA,1,0.6513573273149691
147,MC_Avg,0,-771589.9109072757
147,Avg,1,-771395.1376598652
148,MC_SA,0,0.512381
148,SA,1,0.5126358923691412
148,MC_Avg,0,-53006.349159461395
148,Avg,1,-53228.73369394354
149,MC_SA,0,0.468064
149,SA,1,0.4662154529314246
149,MC_Avg,0,-319633.4630302405
149,Avg,1,-318634.31634788774
150,MC_SA,0,0.916129
150,SA,1,0.9145592752255682
150,MC_Avg,0,9071358.862631168
150,Avg,1,9071444.72444483
151,MC_SA,0,0.212703
151,SA,1,0.21006018532552612
151,MC_Avg,0,-2143234.342160195
151,Avg,1,-2143033.3480134956
152,MC_SA,0,0.997058
152,SA,1,0.9971556424311216
152,MC_Avg,0,9491500.14970871
152,Avg,1,9484823.44597775
153,MC_SA,0,0.428079
153,SA,1,0.41875807414757593
153,MC_Avg,0,-3795515.3295358513
153,Avg,1,-3786352.662525263
154,MC_SA,0,0.771483
154,SA,1,0.7799013924699506
154,MC_Avg,0,578690.2667656264
154,Avg,1,579265.5507975033
155,MC_SA,0,0.944157
155,SA,1,0.9478687404541045
155,MC_Avg,0,923475.7799457101
155,Avg,1,927367.5448606331
156,MC_SA,0,0.988352
156,SA,1,0.9878498791351615
156,MC_Avg,0,1693839.3604741436
156,Avg,1,1693303.613016916
157,MC_SA,0,0.97821
157,SA,1,0.9776967586723667
157,MC_Avg,0,3704206.913105188
157,Avg,1,3703847.421040172
158,MC_SA,0,0.43587
158,SA,1,0.40775031128973416
158,MC_Avg,0,-1216306.1963136687
158,Avg,1,-1215361.0391982216
159,MC_SA,0,0.197451
159,SA,1,0.1924823501652596
159,MC_Avg,0,-4198846.327126861
159,Avg,1,-4195269.327528938
160,MC_SA,0,0.979514
160,SA,1,0.9804191406759439
160,MC_Avg,0,3735001.9230677392
160,Avg,1,3734368.976793715
161,MC_SA,0,0.544239
161,SA,1,0.5448140318540358
161,MC_Avg,0,-130406.99290570673
161,Avg,1,-130166.81266759062
162,MC_SA,0,1.0
162,SA,1,1.0
162,MC_Avg,0,964163.9726580739
162,Avg,1,962612.1233964523
163,MC_SA,0,0.704134
163,SA,1,0.7041017209432838
163,MC_Avg,0,-1474943.8423853086
163,Avg,1,-1474595.0065709553
164,MC_SA,0,0.967103
164,SA,1,0.9670693123075189
164,MC_Avg,0,3538219.216139186
164,Avg,1,3538592.876765862
165,MC_SA,0,0.484392
165,SA,1,0.4849234159495582
165,MC_Avg,0,-1237836.2146113517
165,Avg,1,-1238295.9813873996
166,MC_SA,0,0.96926
166,SA,1,0.9692989015360038
166,MC_Avg,0,4461601.154417872
166,Avg,1,4463531.606448468
167,MC_SA,0,0.960262
167,SA,1,0.9603370430825319
167,MC_Avg,0,2192188.8626677347
167,Avg,1,2191286.310742864
168,MC_SA,0,0.897845
168,SA,1,0.8979030746970065
168,MC_Avg,0,999893.6003743968
168,Avg,1,999763.6588190979
169,MC_SA,0,0.830166
169,SA,1,0.8302054953677518
169,MC_Avg,0,1664654.8391209315
169,Avg,1,1665286.7733309465
170,MC_SA,0,0.980174
170,SA,1,0.9801587781664485
170,MC_Avg,0,7060007.008108282
170,Avg,1,7061770.491814376
171,MC_SA,0,0.780544
171,SA,1,0.7800632280076321
171,MC_Avg,0,2455934.9300666787
171,Avg,1,2456284.7940380853
172,MC_SA,0,0.957451
172,SA,1,0.9578169560112386
172,MC_Avg,0,15007995.077650359
172,Avg,1,15009806.823249493
173,MC_SA,0,0.489876
173,SA,1,0.48816377931152244
173,MC_Avg,0,-2050680.5242498694
173,Avg,1,-2051426.3765737882
174,MC_SA,0,0.961142
174,SA,1,0.9618182938629393
174,MC_Avg,0,3395356.260262284
174,Avg,1,3395533.1274304977
175,MC_SA,0,0.996597
175,SA,1,0.9964905069942562
175,MC_Avg,0,2714119.9874438057
175,Avg,1,2712420.169401389
176,MC_SA,0,0.999329
176,SA,1,0.9993485924569471
176,MC_Avg,0,4839420.748204282
176,Avg,1,4837479.651030305
177,MC_SA,0,0.980994
177,SA,1,0.9821162683581874
177,MC_Avg,0,7639531.732037431
177,Avg,1,7637777.423650251
178,MC_SA,0,0.341023
178,SA,1,0.3353672907884935
178,MC_Avg,0,-2519601.24512993
178,Avg,1,-2515320.8961727186
179,MC_SA,0,0.633918
179,SA,1,0.6336713733916405
179,MC_Avg,0,-2139540.6329967496
179,Avg,1,-2124160.34306522
180,MC_SA,0,1.0
180,SA,1,1.0
180,MC_Avg,0,17964470.17772923
180,Avg,1,17965888.86501555
181,MC_SA,0,0.370113
181,SA,1,0.36043051046667135
181,MC_Avg,0,-1143753.0885065594
181,Avg,1,-1143033.3480134946
182,MC_SA,0,0.464271
182,SA,1,0.44497174020562597
182,MC_Avg,0,-1723826.3530795139
182,Avg,1,-1711450.3747772053
183,MC_SA,0,0.976431
183,SA,1,0.9773140208193083
183,MC_Avg,0,7076099.605256532
183,Avg,1,7078439.475362446
184,MC_SA,0,0.949314
184,SA,1,0.9512139744449851
184,MC_Avg,0,3393000.246628087
184,Avg,1,3393794.063354166
185,MC_SA,0,0.988287
185,SA,1,0.9873959240757073
185,MC_Avg,0,5066242.340789792
185,Avg,1,5065199.176994811
186,MC_SA,0,0.837351
186,SA,1,0.8440749299967354
186,MC_Avg,0,1472247.4208320216
186,Avg,1,1470038.5487517456
187,MC_SA,0,0.309311
187,SA,1,0.30279573688253375
187,MC_Avg,0,-4420633.661871388
187,Avg,1,-4421803.325268854
188,MC_SA,0,0.130554
188,SA,1,0.12722496025797522
188,MC_Avg,0,-3963182.521930559
188,Avg,1,-3963404.418182057
189,MC_SA,0,0.873319
189,SA,1,0.8805250197523481
189,MC_Avg,0,476271.07646067097
189,Avg,1,476339.5727530387
190,MC_SA,0,0.692356
190,SA,1,0.6847242270172796
190,MC_Avg,0,-824412.9693205506
190,Avg,1,-829804.8797190153
191,MC_SA,0,0.856446
191,SA,1,0.8566647724645359
191,MC_Avg,0,2869641.8551203366
191,Avg,1,2869833.18733241
192,MC_SA,0,0.848834
192,SA,1,0.8487053495379018
192,MC_Avg,0,968275.6865777863
192,Avg,1,967101.8328552244
193,MC_SA,0,1.0
193,SA,1,1.0
193,MC_Avg,0,2008083.4436149662
193,Avg,1,2008427.359912799
194,MC_SA,0,0.939312
194,SA,1,0.9393127262971679
194,MC_Avg,0,4442814.555260756
194,Avg,1,4443738.47903138
195,MC_SA,0,0.917762
195,SA,1,0.9175780035879175
195,MC_Avg,0,1349715.1339841946
195,Avg,1,1350001.5171662618
196,MC_SA,0,0.558017
196,SA,1,0.558569190359026
196,MC_Avg,0,-1665417.607475766
196,Avg,1,-1665696.306273086
197,MC_SA,0,0.305293
197,SA,1,0.30514574660810184
197,MC_Avg,0,-3517041.6776945055
197,Avg,1,-3516151.249645908
198,MC_SA,0,0.798205
198,SA,1,0.7986204703221996
198,MC_Avg,0,332637.2303419351
198,Avg,1,332694.59494887927
199,MC_SA,0,0.240186
199,SA,1,0.24020228098111399
199,MC_Avg,0,-1347966.0263359274
199,Avg,1,-1348324.9001174655
200,MC_SA,0,0.818494
200,SA,1,0.8185420329247974
200,MC_Avg,0,3699550.6116393465
200,Avg,1,3699954.9354134123
201,MC_SA,0,0.856619
201,SA,1,0.8544924366960359
201,MC_Avg,0,3455823.1886315993
201,Avg,1,3456284.7940380853
202,MC_SA,0,0.979344
202,SA,1,0.9798271651416669
202,MC_Avg,0,9796603.707983803
202,Avg,1,9793060.142550511
203,MC_SA,0,0.886993
203,SA,1,0.8830043723160359
203,MC_Avg,0,1285447.7855413775
203,Avg,1,1284643.4001369434
204,MC_SA,0,1.0
204,SA,1,1.0
204,MC_Avg,0,1890858.91240585
204,Avg,1,1890652.3163482307
205,MC_SA,0,0.955537
205,SA,1,0.9577655121423168
205,MC_Avg,0,7827838.998700674
205,Avg,1,7827719.4727930175
206,MC_SA,0,0.426887
206,SA,1,0.4131000272713573
206,MC_Avg,0,-1796978.732892491
206,Avg,1,-1796286.5870030108
207,MC_SA,0,1.0
207,SA,1,1.0
207,MC_Avg,0,13965496.310731212
207,Avg,1,13966676.519828089
208,MC_SA,0,1.0
208,SA,1,1.0
208,MC_Avg,0,31111171.235820897
