test_case,metric_type,trial_num,best
108,Avg,1,247769.38575536953
109,MC_SA,0,0.891422
109,SA,1,0.8915773574928352
109,MC_Avg,0,294192.66173936834
109,Avg,1,293835.4411271022
110,MC_SA,0,0.397743
110,SA,1,0.39750136521138757
110,MC_Avg,0,-2572200.1969111837
110,Avg,1,-2571666.5717707947
111,MC_SA,0,0.553532
111,SA,1,0.5471551162825358
111,MC_Avg,0,262745.05836746
111,Avg,1,261934.79403808486
112,MC_SA,0,0.552568
112,SA,1,0.5429391658492887
112,MC_Avg,0,-617432.2095627069
112,Avg,1,-613470.0048588126
113,MC_SA,0,0.657986
113,SA,1,0.6701210014884796
113,MC_Avg,0,205445.9147088522
113,Avg,1,213539.86271179686
114,MC_SA,0,0.692689
114,SA,1,0.6921335020028601
114,MC_Avg,0,437998.6178561571
114,Avg,1,436994.84908541007
115,MC_SA,0,0.591888
115,SA,1,0.5942143696238353
115,MC_Avg,0,5964908.319601781
115,Avg,1,5964584.055130831
116,MC_SA,0,0.971098
116,SA,1,0.9734155310191415
116,MC_Avg,0,13787934.990497453
116,Avg,1,13773906.221663976
117,MC_SA,0,0.424767
117,SA,1,0.42073430217566243
117,MC_Avg,0,-1870744.5571562427
117,Avg,1,-1871195.7527144097
118,MC_SA,0,0.755909
118,SA,1,0.7564146555079658
118,MC_Avg,0,855559.3810567855
118,Avg,1,875454.5950083276
119,MC_SA,0,0.702633
119,SA,1,0.7029304140126602
119,MC_Avg,0,-448193.3197487417
119,Avg,1,-453236.5740631865
120,MC_SA,0,0.937439
120,SA,1,0.9375559969860002
120,MC_Avg,0,1948786.739424242
120,Avg,1,1948735.8852040651
121,MC_SA,0,0.765171
121,SA,1,0.7708322620207978
121,MC_Avg,0,1895101.1384520815
121,Avg,1,1895726.6519865037
122,MC_SA,0,0.836395
122,SA,1,0.8379864340199008
122,MC_Avg,0,2928109.330097433
122,Avg,1,2928316.595143712
123,MC_SA,0,0.661986
123,SA,1,0.6532246997268782
123,MC_Avg,0,300728.87186813296
123,Avg,1,300719.8787448617
124,MC_SA,0,0.330066
124,SA,1,0.3243909904876261
124,MC_Avg,0,922240.143711113
124,Avg,1,926052.6293906831
125,MC_SA,0,0.211515
125,SA,1,0.21000814449742342
125,MC_Avg,0,-2716522.737003108
125,Avg,1,-2714232.7154691694
126,MC_SA,0,0.83918
126,SA,1,0.8642648113426812
126,MC_Avg,0,2860358.1735964753
126,Avg,1,2835146.1602779934
127,MC_SA,0,0.765011
127,SA,1,0.7681229796666074
127,MC_Avg,0,2320393.3851274857
127,Avg,1,2319788.495320916
128,MC_SA,0,0.220201
128,SA,1,0.21886050906103147
128,MC_Avg,0,-6008938.970748201
128,Avg,1,-5986582.062928962
129,MC_SA,0,0.534475
129,SA,1,0.4973572835759009
129,MC_Avg,0,-460297.24034913763
129,Avg,1,-445723.4520433612
130,MC_SA,0,0.860136
130,SA,1,0.8678943963781717
130,MC_Avg,0,3926063.3011082485
130,Avg,1,3920132.6035906263
131,MC_SA,0,0.982824
131,SA,1,0.9828938764919994
131,MC_Avg,0,5164365.852065499
131,Avg,1,5164223.187332411
132,MC_SA,0,0.802562
132,SA,1,0.8025947050597371
132,MC_Avg,0,2380475.690661308
132,Avg,1,2379618.7409211295
133,MC_SA,0,0.588829
133,SA,1,0.5887500075862746
133,MC_Avg,0,-1387302.7442436835
133,Avg,1,-1387632.1101833764
134,MC_SA,0,0.942048
134,SA,1,0.9420142448278424
134,MC_Avg,0,3452093.1231726687
134,Avg,1,3452347.7597473683
135,MC_SA,0,0.775425
135,SA,1,0.7753463719974759
135,MC_Avg,0,1115711.8775255166
135,Avg,1,1117886.9804777054
136,MC_SA,0,0.483681
136,SA,1,0.4837583122460625
136,MC_Avg,0,-830466.9701790392
136,Avg,1,-829528.1933892131
137,MC_SA,0,0.777653
137,SA,1,0.7777049806223721
137,MC_Avg,0,704613.3084849404
137,Avg,1,704399.9341101163
138,MC_SA,0,0.648232
138,SA,1,0.6482133784496571
138,MC_Avg,0,-122878.1911485347
138,Avg,1,-122931.39268066791
139,MC_SA,0,0.865785
139,SA,1,0.8658624337589024
139,MC_Avg,0,3830883.857346358
139,Avg,1,3831482.7401944655
140,MC_SA,0,0.606812
140,SA,1,0.6069262694166379
140,MC_Avg,0,-250234.78545429392
140,Avg,1,-250880.75547312584
141,MC_SA,0,0.901678
141,SA,1,0.9005773833571978
141,MC_Avg,0,4261689.323479941
141,Avg,1,4261934.794038084
142,MC_SA,0,0.260684
142,SA,1,0.2506781712795
142,MC_Avg,0,-1330866.8384416208
142,Avg,1,-1331815.0322731382
143,MC_SA,0,0.877493
143,SA,1,0.8746472767455166
143,MC_Avg,0,1052708.6558015824
143,Avg,1,1054575.6713464472
144,MC_SA,0,0.300299
144,SA,1,0.2940552613125973
144,MC_Avg,0,-2056886.6189424568
144,Avg,1,-2057108.1745445007
145,MC_SA,0,0.872426
145,SA,1,0.8700639131983473
145,MC_Avg,0,89527.98844192554
145,Avg,1,88129.78505050942
146,MC_SA,0,0.742804
146,SA,1,0.7447267729849323
146,MC_Avg,0,1070058.1815087711
146,Avg,1,1066280.6391373756
147,MC_SA,0,0.648695
147,SA,1,0.6513573113866562
147,MC_Avg,0,-771732.3592278991
147,Avg,1,-771395.1376767688
148,MC_SA,0,0.511911
148,SA,1,0.5126357963341077
148,MC_Avg,0,-53254.56908453781
148,Avg,1,-53228.73369389535
149,MC_SA,0,0.468601
149,SA,1,0.4677922421496916
149,MC_Avg,0,-318401.9376363023
149,Avg,1,-318680.2860904715
150,MC_SA,0,0.915625
150,SA,1,0.9145592795573159
150,MC_Avg,0,9071992.154255217
150,Avg,1,9051549.314759934
151,MC_SA,0,0.21207
151,SA,1,0.21006015098426903
151,MC_Avg,0,-2142503.1867287788
151,Avg,1,-2143033.348013496
152,MC_SA,0,0.997204
152,SA,1,0.9975738207124746
152,MC_Avg,0,9492040.933852052
152,Avg,1,9484823.446023455
153,MC_SA,0,0.428632
153,SA,1,0.41875807341938714
153,MC_Avg,0,-3796474.0019789473
153,Avg,1,-3788909.626904452
154,MC_SA,0,0.771098
154,SA,1,0.7799014139449135
154,MC_Avg,0,578935.4422028265
154,Avg,1,590208.0903639721
155,MC_SA,0,0.944069
155,SA,1,0.9478687351638987
155,MC_Avg,0,921573.6413798169
155,Avg,1,927367.5448809948
156,MC_SA,0,0.988501
156,SA,1,0.9878498691288411
156,MC_Avg,0,1693946.7256721973
156,Avg,1,1693351.2089579978
157,MC_SA,0,0.978101
157,SA,1,0.9776967499531479
157,MC_Avg,0,3704218.792177176
157,Avg,1,3703847.4210380614
158,MC_SA,0,0.435986
158,SA,1,0.4077503565101417
158,MC_Avg,0,-1216277.9409561541
158,Avg,1,-1203164.2010831311
159,MC_SA,0,0.196578
159,SA,1,0.19248237627816947
159,MC_Avg,0,-4198120.694965843
159,Avg,1,-4195269.32752894
160,MC_SA,0,0.979475
160,SA,1,0.9804191398167574
160,MC_Avg,0,3735131.634732849
160,Avg,1,3734261.697232932
161,MC_SA,0,0.544794
161,SA,1,0.5448140318540351
161,MC_Avg,0,-129518.12113611118
161,Avg,1,-130166.81266758997
162,MC_SA,0,1.0
162,SA,1,1.0
162,MC_Avg,0,960543.1640428747
162,Avg,1,962612.1233964515
163,MC_SA,0,0.704156
163,SA,1,0.7041017209432805
163,MC_Avg,0,-1473779.6285204042
163,Avg,1,-1474595.0065709576
164,MC_SA,0,0.967191
164,SA,1,0.9670693123075189
164,MC_Avg,0,3539612.5793133075
164,Avg,1,3538592.876765861
165,MC_SA,0,0.485078
165,SA,1,0.48492341594956
165,MC_Avg,0,-1237378.54869442
165,Avg,1,-1238295.9813873982
166,MC_SA,0,0.96931
166,SA,1,0.9692989015360038
166,MC_Avg,0,4462904.518798085
166,Avg,1,4463531.606448463
167,MC_SA,0,0.960376
167,SA,1,0.9603370430825319
167,MC_Avg,0,2191289.243033233
167,Avg,1,2191286.3107428635
168,MC_SA,0,0.898127
168,SA,1,0.8979030746969932
168,MC_Avg,0,1000276.9119667282
168,Avg,1,999763.6588190979
169,MC_SA,0,0.830278
169,SA,1,0.8302054953677497
169,MC_Avg,0,1666457.42159796
169,Avg,1,1665286.7733309446
170,MC_SA,0,0.980359
170,SA,1,0.9801587781664485
170,MC_Avg,0,7062587.748834727
170,Avg,1,7061770.491814384
171,MC_SA,0,0.780586
171,SA,1,0.7800632052683225
171,MC_Avg,0,2456860.6917820727
171,Avg,1,2456284.7940380853
172,MC_SA,0,0.957459
172,SA,1,0.9578169593103999
172,MC_Avg,0,15003722.7888514
172,Avg,1,15009806.615042742
173,MC_SA,0,0.490013
173,SA,1,0.4881637749823452
173,MC_Avg,0,-2052567.0703214558
173,Avg,1,-2051544.699225085
174,MC_SA,0,0.961598
174,SA,1,0.961818286855178
174,MC_Avg,0,3396235.310595932
174,Avg,1,3395554.2819571975
175,MC_SA,0,0.996538
175,SA,1,0.9964905071349478
175,MC_Avg,0,2713917.9366640784
175,Avg,1,2712266.4009242044
176,MC_SA,0,0.999309
176,SA,1,0.9993485924257894
176,MC_Avg,0,4838386.898452023
176,Avg,1,4837535.19191595
177,MC_SA,0,0.981146
177,SA,1,0.9821162693686829
177,MC_Avg,0,7641427.32486667
177,Avg,1,7638564.017014088
178,MC_SA,0,0.341131
178,SA,1,0.33536727255074
178,MC_Avg,0,-2518687.9655487305
178,Avg,1,-2515880.720096035
179,MC_SA,0,0.634416
179,SA,1,0.6336713820653296
179,MC_Avg,0,-2133347.9457644927
179,Avg,1,-2124160.3374753348
180,MC_SA,0,1.0
180,SA,1,1.0
180,MC_Avg,0,17968013.290019274
180,Avg,1,17966960.936528396
181,MC_SA,0,0.369378
181,SA,1,0.3604304722815569
181,MC_Avg,0,-1143194.5031863926
181,Avg,1,-1143033.348013495
182,MC_SA,0,0.464161
182,SA,1,0.44497178017357675
182,MC_Avg,0,-1724968.574415255
182,Avg,1,-1711791.1970371765
183,MC_SA,0,0.976494
183,SA,1,0.9773140188273506
183,MC_Avg,0,7078229.037513607
183,Avg,1,7078528.347126394
184,MC_SA,0,0.94902
184,SA,1,0.9512139739870035
184,MC_Avg,0,3393108.6815560344
184,Avg,1,3356361.261331015
185,MC_SA,0,0.987928
185,SA,1,0.9873959256423991
185,MC_Avg,0,5064442.055598663
185,Avg,1,5065149.004808548
186,MC_SA,0,0.836791
186,SA,1,0.8440749363480158
186,MC_Avg,0,1471904.4432392928
186,Avg,1,1467969.3681562822
187,MC_SA,0,0.30904
187,SA,1,0.3027957274865369
187,MC_Avg,0,-4421573.911408012
187,Avg,1,-4422618.044675816
188,MC_SA,0,0.131036
188,SA,1,0.12722499907149115
188,MC_Avg,0,-3963287.5828513913
188,Avg,1,-3963371.7642069114
189,MC_SA,0,0.873549
189,SA,1,0.8805250398787396
189,MC_Avg,0,476295.4577533036
189,Avg,1,476339.5727531528
190,MC_SA,0,0.692891
190,SA,1,0.6847242185534864
190,MC_Avg,0,-824893.8694389922
190,Avg,1,-830311.5763310358
191,MC_SA,0,0.856583
191,SA,1,0.856664772464543
191,MC_Avg,0,2870224.2122538555
191,Avg,1,2869833.18733241
192,MC_SA,0,0.848805
192,SA,1,0.8487053495379115
192,MC_Avg,0,966790.297378546
192,Avg,1,967101.8328552237
193,MC_SA,0,1.0
193,SA,1,1.0
193,MC_Avg,0,2008321.4356424157
193,Avg,1,2008427.359912798
194,MC_SA,0,0.939293
194,SA,1,0.9393127262971679
194,MC_Avg,0,4444219.886674639
194,Avg,1,4443738.4790313905
195,MC_SA,0,0.917535
195,SA,1,0.9175780035879179
195,MC_Avg,0,1350055.763873186
195,Avg,1,1350001.5171662618
196,MC_SA,0,0.558193
196,SA,1,0.5585691903590251
